implementation,factor,MC
R,1,0.938909519636223
R,2,0.9975958192217784
R,3,0.9949111116778501
R,4,0.993195746764289
R,1,0.34608067380505114
R,2,0.9975511520701527
R,3,0.9964006898909968
R,4,0.9957143005067018
R,1,0.8014496611097274
R,2,0.9974733093314058
R,3,0.9966673336811863
R,4,0.9921891136119588
R,1,0.46295620154358147
R,2,0.9984394668124107
R,3,0.9966466336457334
R,4,0.9908740884250491
R,1,0.821530743806287
R,2,0.99821363494893
R,3,0.9957620480187137
R,4,0.9929863990395861
R,1,0.9171697296294868
R,2,0.9969529990362561
R,3,0.994406555339837
R,4,0.9932388554876546
R,1,0.43686304994422953
R,2,0.9973216503898386
R,3,0.9972474678371952
R,4,0.9927560267584286
R,1,0.8158230541834118
R,2,0.9971799667613848
R,3,0.9954230008812958
R,4,0.9961390294417354
R,1,0.7780753680927422
R,2,0.9972593706120475
R,3,0.9958729704895025
R,4,0.9943271870674899
R,1,0.7123548905037709
R,2,0.997047292895453
R,3,0.9931067411424008
R,4,0.9946672639324258
R,1,0.8595211973867656
R,2,0.9965276161891975
R,3,0.9957380408049771
R,4,0.9947527512769979
R,1,0.8567056818011465
R,2,0.997198962393152
R,3,0.9968952794428414
R,4,0.9921309075668897
R,1,0.4041281470445678
R,2,0.9971144012696201
R,3,0.997024055340413
R,4,0.9964882739131877
R,1,0.9216501309271179
R,2,0.9978349305972152
R,3,0.996826045476232
R,4,0.9900967746468422
R,1,0.8121422934471042
R,2,0.997619215137024
R,3,0.9947381075516905
R,4,0.9942192095344675
R,1,0.32629804713249916
R,2,0.9969815869435892
R,3,0.9961255396501433
R,4,0.9936538584377587
R,1,0.8574484413548039
R,2,0.997767760015027
R,3,0.9951252875794349
R,4,0.993518011664065
R,1,0.6617713477712813
R,2,0.9973586562014944
R,3,0.996475777745063
R,4,0.9945272184084472
R,1,0.7564443903891164
R,2,0.9977538848200741
R,3,0.9952955584984022
R,4,0.9920162693655802
R,1,0.7306519685529685
R,2,0.996499817627268
R,3,0.9971069684143794
R,4,0.9937166302379662
R,1,0.7876947850234045
R,2,0.9978396727084341
R,3,0.996785614651079
R,4,0.9928610816869436
R,1,0.9309750356508605
R,2,0.9976105296008336
R,3,0.9957169634099438
R,4,0.9940851905014605
R,1,0.8601911591943786
R,2,0.9961758345048886
R,3,0.996799344760195
R,4,0.9934868119160186
R,1,0.9369659400314858
R,2,0.9977907869221987
R,3,0.9961625097494814
R,4,0.9915737821639735
R,1,0.8039355958136138
R,2,0.9982226448158188
R,3,0.995921324915455
R,4,0.9932771744022466
R,1,0.859337054134262
R,2,0.9973963959515127
R,3,0.9977084028948101
R,4,0.9891176919453576
R,1,0.7503748039285183
