implementation,factor,MC
R,1,0.9336865729685904
R,2,0.9973226113123119
R,3,0.9953606311900486
R,4,0.9930709892183679
R,1,0.7761101092886907
R,2,0.9977013158348879
R,3,0.9949025428776336
R,4,0.9954867539794299
R,1,0.7639864095117459
R,2,0.9974462061758859
R,3,0.9942702519667991
R,4,0.993340819900191
R,1,0.9023956412318669
R,2,0.9976710707671314
R,3,0.9966582452630407
R,4,0.9941413604787143
R,1,0.723702249622475
R,2,0.9973209099299211
R,3,0.9960874273033568
R,4,0.9948272367062488
R,1,0.8343199631233504
R,2,0.9966697342940768
R,3,0.9961091785507028
R,4,0.992969620552245
R,1,0.9636886512352925
R,2,0.9986144493995555
R,3,0.9969518247488762
R,4,0.9956709286295747
R,1,0.6016662516819573
R,2,0.9981883479202619
R,3,0.9966282518008397
R,4,0.995672878609874
R,1,0.6550498248052746
R,2,0.9975244198549029
R,3,0.9963150756879293
R,4,0.9934493351015504
R,1,0.8503813449288542
R,2,0.9982240614836502
R,3,0.9955789379216358
R,4,0.9940723803885895
R,1,0.929915218626996
R,2,0.9977736401660415
R,3,0.9965105589505032
R,4,0.9955217263133752
R,1,0.9910532585163321
R,2,0.9965707738862034
R,3,0.9962075148260984
R,4,0.9951652666970288
R,1,0.9253111597633618
R,2,0.997068685436688
R,3,0.9958539219060227
R,4,0.9929789245116052
R,1,0.33698916310385296
R,2,0.9984153901525307
R,3,0.9969204392059009
R,4,0.9912561573054315
R,1,0.44663381649280864
R,2,0.9979746322562839
R,3,0.9938676819277559
R,4,0.9930405256705861
R,1,0.9511223606187754
R,2,0.9974896942162265
R,3,0.9965825125557896
R,4,0.9957120185477064
R,1,0.8007622960798987
R,2,0.9970342730304678
R,3,0.9948995587305041
R,4,0.9915618470973326
R,1,0.8260049045021717
R,2,0.9976337432288438
R,3,0.9960162147669767
R,4,0.9939253149388133
R,1,0.8513278476572745
R,2,0.9980352546057465
R,3,0.9950867497902647
R,4,0.9941788621356632
R,1,0.7311341789847977
R,2,0.9971134087666779
R,3,0.9954127881443192
R,4,0.9948722568424158
R,1,0.7889247546153917
R,2,0.9967326358927668
R,3,0.9965102196213425
R,4,0.9924833043466943
R,1,0.8171682538689272
R,2,0.9962415023491001
R,3,0.9957571123979047
R,4,0.9921352719445247
R,1,0.84197283512292
R,2,0.9981962716564224
R,3,0.9939852886051554
R,4,0.9949079957357156
R,1,0.9459083393844474
R,2,0.9980441835337274
R,3,0.9958859337330642
R,4,0.9942419249377668
R,1,0.30715082206303274
R,2,0.9981843108650469
R,3,0.9969233260280824
R,4,0.992257773481197
R,1,0.9288080729815426
R,2,0.9977816212100284
R,3,0.9958924149491875
R,4,0.9939521123760856
R,1,0.6197137567724766
R,2,0.9977765250892061
R,3,0.994795787714573
R,4,0.9931484977548845
R,1,0.3755955478039952
R,2,0.997429552645196
R,3,0.9938155392025801
R,4,0.9937939411454604
R,1,0.8397970573656236
R,2,0.9983648295709439
R,3,0.9968571912227508
R,4,0.9959635817990449
R,1,0.7886233431595099
R,2,0.9982679760629497
R,3,0.9966099805726976
R,4,0.9905294621439993
R,1,0.8128905454090251
R,2,0.998040747588386
R,3,0.9968762846252784
R,4,0.9925438148108888
R,1,0.869803982781259
R,2,0.9981769978314573
R,3,0.9962150542401773
R,4,0.9958692363478328
R,1,0.39603999435910164
R,2,0.9978204282626599
R,3,0.9939121298937251
R,4,0.9933088607444699
R,1,0.8116263100950091
R,2,0.9979601456159457
R,3,0.9940810420028344
R,4,0.9936567791849145
R,1,0.7110173611680123
R,2,0.9961980564137447
R,3,0.9950348786542148
R,4,0.9921592269757445
R,1,0.7191013356964009
R,2,0.9977337798366182
R,3,0.9964806194335508
R,4,0.9939591460835273
R,1,0.7709768157169288
R,2,0.9981028515970074
R,3,0.9956973910516557
R,4,0.9919261116742092
R,1,0.8577914251605775
R,2,0.9978601952160583
R,3,0.9963112708823983
R,4,0.9928024293033125
R,1,0.9856963367686198
R,2,0.9977362454306726
R,3,0.9964361205546205
R,4,0.99369348123709
R,1,0.9117389001574668
R,2,0.9973057614451629
R,3,0.9951936490047605
R,4,0.9894054762041495
R,1,0.9656383394737624
R,2,0.9974614686679593
R,3,0.9967646799491044
R,4,0.9946550302239642
R,1,0.3450438511095072
R,2,0.9984144952469652
R,3,0.9960698887947882
R,4,0.9928487759798608
R,1,0.9179622870553804
R,2,0.9979333166170969
R,3,0.9959605774587474
R,4,0.9944214342700232
R,1,0.9561741266234094
R,2,0.9979978468398766
R,3,0.9965436819083069
R,4,0.9930872039595662
R,1,0.6788102447738313
R,2,0.9974723869947938
R,3,0.9959786308099505
R,4,0.9951552317819132
R,1,0.8717032977272282
R,2,0.9981639719981109
R,3,0.9946347492576403
R,4,0.995680901149891
R,1,0.8109972248922677
R,2,0.9977667975320943
R,3,0.9938472705542774
R,4,0.9956593306437251
R,1,0.32252506571976164
R,2,0.9981913498084706
R,3,0.997741333632268
R,4,0.990115055739864
R,1,0.3587247226959169
R,2,0.9974550246735421
R,3,0.995216242112495
R,4,0.9937564859704254
R,1,0.8737694623573151
R,2,0.9974576523494711
R,3,0.9944580140894097
R,4,0.9904144022298274
R,1,0.7242667132545186
R,2,0.9980004524103985
R,3,0.9971990042882084
R,4,0.9944296287190436
R,1,0.9444373671633758
R,2,0.9979569542118027
R,3,0.9959576885523069
R,4,0.9918494007966882
R,1,0.527829814023147
R,2,0.9978326502237911
R,3,0.9961649513937293
R,4,0.9902672937584935
R,1,0.9430898385240905
R,2,0.9976335199617804
R,3,0.9966163397346304
R,4,0.9946424140204772
R,1,0.9225729740807801
R,2,0.99776375101251
R,3,0.9965335686748993
R,4,0.9948408376517449
R,1,0.7369574167522027
R,2,0.9975100315238442
R,3,0.9955843458823551
R,4,0.9952418285040122
R,1,0.7773091288330786
R,2,0.9969653895189862
R,3,0.9956657560750063
R,4,0.9943131803647356
R,1,0.5495301189434348
R,2,0.9970611662326252
R,3,0.9958066831772923
R,4,0.9936455882297442
R,1,0.9310930474748211
R,2,0.9975844256460412
R,3,0.9969004069637672
R,4,0.9933153428694201
R,1,0.9229657604388534
R,2,0.9981257364356789
R,3,0.9960714301546021
R,4,0.9941331049303069
R,1,0.8278274036820042
