"","theta","y","dist1","dist2","min_dist1","min_dist2","highlight"
"1",-3.13,2.54572433182175,9.41,4.7,FALSE,FALSE,FALSE
"2",-3.12,2.53183435422669,9.4,4.69,FALSE,FALSE,FALSE
"3",-3.11,2.51769119530606,9.39,4.68,FALSE,FALSE,FALSE
"4",-3.1,2.50329626936397,9.38,4.67,FALSE,FALSE,FALSE
"5",-3.09,2.48865101588102,9.37,4.66,FALSE,FALSE,FALSE
"6",-3.08,2.47375689937034,9.36,4.65,FALSE,FALSE,FALSE
"7",-3.07,2.45861540923119,9.35,4.64,FALSE,FALSE,FALSE
"8",-3.06,2.44322805959995,9.34,4.63,FALSE,FALSE,FALSE
"9",-3.05,2.42759638919877,9.33,4.62,FALSE,FALSE,FALSE
"10",-3.04,2.41172196118166,9.32,4.61,FALSE,FALSE,FALSE
"11",-3.03,2.39560636297819,9.31,4.6,FALSE,FALSE,FALSE
"12",-3.02,2.37925120613476,9.3,4.59,FALSE,FALSE,FALSE
"13",-3.01,2.36265812615342,9.29,4.58,FALSE,FALSE,FALSE
"14",-3,2.34582878232833,9.28,4.57,FALSE,FALSE,FALSE
"15",-2.99,2.32876485757987,9.27,4.56,FALSE,FALSE,FALSE
"16",-2.98,2.31146805828627,9.26,4.55,FALSE,FALSE,FALSE
"17",-2.97,2.29859488883841,9.25,4.54,FALSE,FALSE,FALSE
"18",-2.96,2.31545592304754,9.24,4.53,FALSE,FALSE,FALSE
"19",-2.95,2.3320854135939,9.23,4.52,FALSE,FALSE,FALSE
"20",-2.94,2.3484816975423,9.22,4.51,FALSE,FALSE,FALSE
"21",-2.93,2.36464313527801,9.21,4.5,FALSE,FALSE,FALSE
"22",-2.92,2.38056811067072,9.2,4.49,FALSE,FALSE,FALSE
"23",-2.91,2.39625503123616,9.19,4.48,FALSE,FALSE,FALSE
"24",-2.9,2.41170232829535,9.18,4.47,FALSE,FALSE,FALSE
"25",-2.89,2.42690845713146,9.17,4.46,FALSE,FALSE,FALSE
"26",-2.88,2.44187189714427,9.16,4.45,FALSE,FALSE,FALSE
"27",-2.87,2.45659115200225,9.15,4.44,FALSE,FALSE,FALSE
"28",-2.86,2.47106474979219,9.14,4.43,FALSE,FALSE,FALSE
"29",-2.85,2.48529124316636,9.13,4.42,FALSE,FALSE,FALSE
"30",-2.84,2.49926920948728,9.12,4.41,FALSE,FALSE,FALSE
"31",-2.83,2.51299725096997,9.11,4.4,FALSE,FALSE,FALSE
"32",-2.82,2.52647399482172,9.1,4.39,FALSE,FALSE,FALSE
"33",-2.81,2.53969809337938,9.09,4.38,FALSE,FALSE,FALSE
"34",-2.8,2.5526682242441,9.08,4.37,FALSE,FALSE,FALSE
"35",-2.79,2.56538309041362,9.07,4.36,FALSE,FALSE,FALSE
"36",-2.78,2.57784142041191,9.06,4.35,FALSE,FALSE,FALSE
"37",-2.77,2.59004196841635,9.05,4.34,FALSE,FALSE,FALSE
"38",-2.76,2.60198351438232,9.04,4.33,FALSE,FALSE,FALSE
"39",-2.75,2.61366486416515,9.03,4.32,FALSE,FALSE,FALSE
"40",-2.74,2.62508484963962,9.02,4.31,FALSE,FALSE,FALSE
"41",-2.73,2.63624232881668,9.01,4.3,FALSE,FALSE,FALSE
"42",-2.72,2.64713618595773,9,4.29,FALSE,FALSE,FALSE
"43",-2.71,2.65776533168612,8.99,4.28,FALSE,FALSE,FALSE
"44",-2.7,2.66812870309614,8.98,4.27,FALSE,FALSE,FALSE
"45",-2.69,2.67822526385928,8.97,4.26,FALSE,FALSE,FALSE
"46",-2.68,2.68805400432788,8.96,4.25,FALSE,FALSE,FALSE
"47",-2.67,2.69761394163609,8.95,4.24,FALSE,FALSE,FALSE
"48",-2.66,2.70690411979813,8.94,4.23,FALSE,FALSE,FALSE
"49",-2.65,2.71592360980395,8.93,4.22,FALSE,FALSE,FALSE
"50",-2.64,2.72467150971204,8.92,4.21,FALSE,FALSE,FALSE
"51",-2.63,2.73314694473972,8.91,4.2,FALSE,FALSE,FALSE
"52",-2.62,2.74134906735054,8.9,4.19,FALSE,FALSE,FALSE
"53",-2.61,2.74927705733907,8.89,4.18,FALSE,FALSE,FALSE
"54",-2.6,2.75693012191292,8.88,4.17,FALSE,FALSE,FALSE
"55",-2.59,2.76430749577202,8.87,4.16,FALSE,FALSE,FALSE
